"2945","nuboro","Germany","Darmstadt","True","python","1630.16 ","0 ","1024.21 ","19608 / 55","NA","236 / 1",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2946","kaushik12048",,,"True","c++","2207.72 ","0 ","1189.46 ","15064 / 11699","NA","5796 / 4594",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2947","hari_thor",,,"True","c","144.63 ","620.73 ","0 ","46931 / 36689","23847 / 19700","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2948","ac_srinivas",,,"True","c++","1108.65 ","1505.53 ","0 ","25193 / 19474","4403 / 3156","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2949","bb_1",,,"True","c++","4858.62 ","1279.66 ","0 ","5607 / 4346","6963 / 5160","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2950","code_on",,,"True","c","-577.42 ","1382.3 ","0 ","59221 / 47187","5651 / 4121","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2951","sameer47",,,"True","c++","6421.63 ","2857.36 ","0 ","3199 / 2412","428 / 213","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2952","divyansh13","India","Kanpur","True","c++","10447.56 ","1648.13 ","1057.91 ","532 / 322","3379 / 2386","8034 / 6526",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2953","arpit_gupta_12","India","Chandigarh","True","c++","8209.82 ","2092.64 ","1908.99 ","1609 / 1165","1574 / 1036","937 / 662",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2954","smartass007",,,"True","java","87.37 ","0 ","0 ","47737 / 37395","NA","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2955","giorgi",,,"True","c++","3132.93 ","1883.08 ","0 ","10330 / 21","2252 / 6","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2956","getsuga","India","Bengaluru","True","c++","5721.51 ","1217.14 ","1433.62 ","4093 / 3129","7944 / 5946","3088 / 2330",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2957","ring1234","India","Allahabad","True","c++","5052.81 ","1233.24 ","2082.44 ","5221 / 4048","7688 / 5742","602 / 398",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2958","brianfry713",,,"False","c++","6465.87 ","1415.92 ","921.23 ","3150 / 54","5262 / 129","10899 / 186",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2959","rame","Georgia","Tbilisi","True","python","4985.78 ","1430.78 ","0 ","5350 / 14","5119 / 14","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2960","rahul_bhati","India","Gandhidham","True","c++","3831.74 ","1906.19 ","1339.36 ","7944 / 6216","2161 / 1487","3974 / 3059",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2961","michael10024",,,"True","c++","2402.71 ","1034.88 ","0 ","13869 / 3","11462 / 2","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2962","iron_maiden",,,"True","c++","3032.64 ","664.73 ","1036.87 ","10716 / 8342","23060 / 18965","8412 / 6849",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2963","jawad","India","Malappuram","True","c++","6290.86 ","2083.54 ","1141.12 ","3345 / 2524","1611 / 1061","6563 / 5252",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2964","durgatiwari","India","Kolkata","False","c++","6351.49 ","1943.58 ","1604.45 ","3276 / 2469","2042 / 1393","1963 / 1462",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2965","xordux","India","New Delhi","True","c","1998.63 ","0 ","0 ","16701 / 12999","NA","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2966","madhur123","India","Sitapur","True","c++","9735.99 ","2222.54 ","1838.76 ","786 / 521","1291 / 826","1116 / 807",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2967","avanee","India","New Delhi","False","c++","5161.13 ","617.42 ","1000.55 ","4997 / 3870","23990 / 19828","9167 / 7507",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2968","darasa","India","Gurgaon","True","c++","-2148.95 ","679.97 ","0 ","73791 / 60396","22501 / 18452","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2969","iamtehcoder",,,"True","java","1720.73 ","0 ","0 ","18874 / 14652","NA","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2970","rtheman","India","Hyderabad","True","c++","7629.67 ","2917.23 ","1798.08 ","2029 / 1491","383 / 184","1234 / 894",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2971","darkhire21","India","New Delhi","True","c++","-2308.93 ","705.9 ","627.25 ","74153 / 60741","21205 / 17286","16852 / 14587",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2972","boxisgreat","India","Bengaluru","True","c++","5294.16 ","2127.85 ","790.8 ","4765 / 3688","1481 / 964","13974 / 11926",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2973","ritu2510",,,"True","c++","195.11 ","311.25 ","826.95 ","45935 / 35869","28806 / 24328","13167 / 11181",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2974","himagra","India","Faridabad","True","c++","0 ","0 ","0 ","NA","NA","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2975","carljalal","United States","West Springfield","False","c++","190.16 ","0 ","0 ","46022 / 1504","NA","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2976","sohamd95","India","Pune","True","c++","7116.48 ","683.73 ","0 ","2459 / 1823","22430 / 18390","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2977","mb13mb13_1995","India",,"True","c++","2555.74 ","766.23 ","651.05 ","12993 / 10090","19381 / 15635","16554 / 14310",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2978","siddharths067","India","Ankleshwar","True","c++","338.23 ","596.58 ","565.81 ","42681 / 33106","24310 / 20124","17898 / 15573",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2979","ringo1611","India","Bathinda","False","c++","10437.06 ","2784.89 ","2378.85 ","538 / 325","487 / 260","292 / 169",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2980","begin_hs","India","Warangal","True","c++","10584.16 ","2661.14 ","2634.61 ","491 / 291","620 / 355","153 / 67",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2981","rahul_sethi","India","Jalandhar","True","c++","9278.35 ","1888.43 ","2310.66 ","983 / 669","2228 / 1537","337 / 195",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2982","joney_000","India","Jaipur","True","java","8574.98 ","991.25 ","1614.48 ","1364 / 966","12469 / 9645","1898 / 1417",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2983","abhi2",,,"True","c++","0 ","0 ","0 ","NA","NA","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2984","kangoonie",,,"False","c#","-898.94 ","0 ","0 ","64993 / 2018","NA","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2985","cooldhanraj",,,"True","c","-294.75 ","0 ","0 ","54107 / 42778","NA","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2986","miamiheat","India","Rohtak","True","c++","-1110.54 ","48.41 ","0 ","68020 / 55044","29944 / 25413","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2987","wyllian",,,"True","c++","5055.02 ","1304.48 ","1046.71 ","5216 / 27","6600 / 53","8232 / 24",NULL,NULL,NULL,NULL,NULL,NULL,NULL
